T:X:Y,V.T.R
6:6:5,5.3.1
6:5:5,11.3.2
6:4:5,30.3.2
6:12:4,5.1.1
6:11:4,2.1.1
6:10:4,3.1.1
6:9:4,34.1.2
6:8:4,23.1.1
6:7:4,3.1.2
6:6:4,15.3.2
6:5:4,29.3.2
6:4:4,21.3.1
6:3:4,9.1.2
6:2:4,27.2.2
6:1:4,34.2.1
6:12:3,33.3.2
6:11:3,28.3.2
6:10:3,6.3.1
6:9:3,7.1.2
6:8:3,21.1.2
6:7:3,12.1.1
6:6:3,7.1.1
6:5:3,26.1.2
6:4:3,6.1.1
6:3:3,12.1.2
6:2:3,33.1.1
6:1:3,18.1.2
6:12:2,24.1.1
6:11:2,19.1.2
6:10:2,32.1.2
6:9:2,22.3.1
6:8:2,7.3.2
6:7:2,16.3.2
6:6:2,26.3.1
6:5:2,2.3.1
6:4:2,18.3.2
6:3:2,2.2.1
6:2:2,26.2.1
6:1:2,25.2.1
6:12:1,32.2.2
6:11:1,30.2.2
6:10:1,31.2.2
6:9:1,4.1.1
6:8:1,15.1.1
6:7:1,20.1.2
6:6:1,34.3.2
6:5:1,17.3.1
6:4:1,12.3.2
6:3:1,13.2.2
6:2:1,13.2.1
6:1:1,33.3.1
5:12:5,29.1.1
5:11:5,11.1.1
5:10:5,29.1.2
5:9:5,3.2.1
5:8:5,33.2.1
5:7:5,1.2.1
5:6:5,24.1.2
5:5:5,17.1.2
5:4:5,30.1.1
5:3:5,4.2.2
5:2:5,14.2.2
5:1:5,23.2.2
5:12:4,34.3.1
5:11:4,13.3.1
5:10:4,32.3.2
5:9:4,4.1.2
5:8:4,22.1.2
5:7:4,32.1.1
5:6:4,7.2.2
5:5:4,18.2.1
5:4:4,8.2.2
5:3:4,30.3.1
5:2:4,7.3.1
5:1:4,15.3.1
5:12:3,17.2.2
5:11:3,1.2.2
5:10:3,12.2.1
5:9:3,10.3.1
5:8:3,19.3.1
5:7:3,35.3.1
5:6:3,28.1.2
5:5:3,9.1.1
5:4:3,6.1.2
5:3:3,3.3.1
5:2:3,19.3.2
5:1:3,35.3.2
5:12:2,11.1.2
5:11:2,17.1.1
5:10:2,26.1.1
5:9:2,25.3.1
5:8:2,10.3.2
5:7:2,14.3.1
5:6:2,34.2.2
5:5:2,6.2.1
5:4:2,22.2.2
5:3:2,35.2.2
5:2:2,19.2.2
5:1:2,16.2.1
5:6:1,23.1.2
5:5:1,25.1.1
5:4:1,31.1.2
4:9:5,20.2.1
4:8:5,33.2.2
4:7:5,27.2.1
4:6:5,3.3.2
4:5:5,24.3.1
4:4:5,28.3.1
4:12:4,4.3.2
4:11:4,27.3.2
4:10:4,11.3.1
4:9:4,23.2.1
4:8:4,21.2.1
4:7:4,22.2.1
4:6:4,27.3.1
4:5:4,22.3.2
4:4:4,9.3.1
4:3:4,2.1.2
4:2:4,35.1.1
4:1:4,1.1.1
4:12:3,26.2.2
4:11:3,6.2.2
4:10:3,17.2.1
4:9:3,8.2.1
4:8:3,29.2.1
4:7:3,3.2.2
4:6:3,16.3.1
4:5:3,14.3.2
4:4:3,31.3.2
4:3:3,12.2.2
4:2:3,28.2.2
4:1:3,10.2.2
4:12:2,18.1.1
4:11:2,31.1.1
4:10:2,33.1.2
4:9:2,16.2.2
4:8:2,15.2.2
4:7:2,5.2.1
4:6:2,1.1.2
4:5:2,10.1.1
4:4:2,28.1.1
4:3:2,19.1.1
4:2:2,15.1.2
4:1:2,30.1.2
4:12:1,20.3.2
4:11:1,32.3.1
4:10:1,1.3.1
4:9:1,8.3.1
4:8:1,29.3.1
4:7:1,21.3.2
4:6:1,25.3.2
4:5:1,17.3.2
4:4:1,1.3.2
4:3:1,29.2.2
4:2:1,15.2.1
4:1:1,11.2.1
3:12:5,24.2.1
3:11:5,28.2.1
3:10:5,32.2.1
3:9:5,31.2.1
3:8:5,2.2.2
3:7:5,11.2.2
3:6:5,19.2.1
3:5:5,25.2.2
3:4:5,4.2.1
3:3:5,24.2.2
3:2:5,7.2.1
3:1:5,18.2.2
3:12:4,8.1.1
3:11:4,13.1.1
3:10:4,25.1.2
3:9:4,31.3.1
3:8:4,5.3.2
3:7:4,8.3.2
3:6:4,20.1.1
3:5:4,16.1.1
3:4:4,10.1.2
3:3:4,20.3.1
3:2:4,23.3.1
3:1:4,4.3.1
3:12:3,8.1.2
3:11:3,34.1.1
3:10:3,22.1.1
3:9:3,9.2.1
3:8:3,35.2.1
3:7:3,20.2.2
3:6:3,13.1.2
3:5:3,14.1.1
3:4:3,5.1.2
3:3:3,30.2.1
3:2:3,10.2.1
3:1:3,5.2.2
3:12:2,9.3.2
3:11:2,6.3.2
3:10:2,23.3.2
3:9:2,13.3.2
3:8:2,18.3.1
3:7:2,26.3.2
3:6:2,21.2.2
3:5:2,14.2.1
3:4:2,9.2.2
3:3:2,12.3.1
3:2:2,2.3.2
3:1:2,24.3.2
3:9:1,16.1.2
3:8:1,27.1.1
3:7:1,21.1.1
3:6:1,27.1.2
3:5:1,35.1.2
3:4:1,14.1.2
