V.T.R,var,cultivar,Treatment,Repeat
1.22_2.1,1,1,22_2,1
2.22_2.1,2,2,22_2,1
3.22_2.1,3,3,22_2,1
4.22_2.1,4,4,22_2,1
5.22_2.1,5,5,22_2,1
6.22_2.1,6,6,22_2,1
7.22_2.1,7,7,22_2,1
8.22_2.1,8,8,22_2,1
9.22_2.1,9,9,22_2,1
10.22_2.1,10,10,22_2,1
11.22_2.1,11,11,22_2,1
12.22_2.1,12,12,22_2,1
13.22_2.1,13,13,22_2,1
14.22_2.1,14,14,22_2,1
15.22_2.1,15,15,22_2,1
16.22_2.1,16,16,22_2,1
17.22_2.1,17,17,22_2,1
18.22_2.1,18,18,22_2,1
19.22_2.1,19,19,22_2,1
20.22_2.1,20,20,22_2,1
21.22_2.1,21,21,22_2,1
22.22_2.1,22,22,22_2,1
23.22_2.1,23,23,22_2,1
24.22_2.1,24,24,22_2,1
25.22_2.1,25,25,22_2,1
26.22_2.1,26,26,22_2,1
27.22_2.1,27,27,22_2,1
28.22_2.1,28,28,22_2,1
29.22_2.1,29,29,22_2,1
30.22_2.1,30,30,22_2,1
31.22_2.1,31,31,22_2,1
32.22_2.1,32,32,22_2,1
33.22_2.1,33,33,22_2,1
34.22_2.1,34,34,22_2,1
35.22_2.1,35,35,22_2,1
36.22_2.1,36,36,22_2,1
37.22_2.1,37,37,22_2,1
38.22_2.1,38,38,22_2,1
39.22_2.1,39,39,22_2,1
40.22_2.1,40,40,22_2,1
41.22_2.1,41,41,22_2,1
42.22_2.1,42,42,22_2,1
43.22_2.1,43,43,22_2,1
44.22_2.1,44,44,22_2,1
45.22_2.1,45,45,22_2,1
46.22_2.1,46,46,22_2,1
47.22_2.1,47,47,22_2,1
48.22_2.1,48,48,22_2,1
49.22_2.1,49,49,22_2,1
50.22_2.1,50,50,22_2,1
1.22_2.2,1,1,22_2,2
2.22_2.2,2,2,22_2,2
3.22_2.2,3,3,22_2,2
4.22_2.2,4,4,22_2,2
5.22_2.2,5,5,22_2,2
6.22_2.2,6,6,22_2,2
7.22_2.2,7,7,22_2,2
8.22_2.2,8,8,22_2,2
9.22_2.2,9,9,22_2,2
10.22_2.2,10,10,22_2,2
11.22_2.2,11,11,22_2,2
12.22_2.2,12,12,22_2,2
13.22_2.2,13,13,22_2,2
14.22_2.2,14,14,22_2,2
15.22_2.2,15,15,22_2,2
16.22_2.2,16,16,22_2,2
17.22_2.2,17,17,22_2,2
18.22_2.2,18,18,22_2,2
19.22_2.2,19,19,22_2,2
20.22_2.2,20,20,22_2,2
21.22_2.2,21,21,22_2,2
22.22_2.2,22,22,22_2,2
23.22_2.2,23,23,22_2,2
24.22_2.2,24,24,22_2,2
25.22_2.2,25,25,22_2,2
26.22_2.2,26,26,22_2,2
27.22_2.2,27,27,22_2,2
28.22_2.2,28,28,22_2,2
29.22_2.2,29,29,22_2,2
30.22_2.2,30,30,22_2,2
31.22_2.2,31,31,22_2,2
32.22_2.2,32,32,22_2,2
33.22_2.2,33,33,22_2,2
34.22_2.2,34,34,22_2,2
35.22_2.2,35,35,22_2,2
36.22_2.2,36,36,22_2,2
37.22_2.2,37,37,22_2,2
38.22_2.2,38,38,22_2,2
39.22_2.2,39,39,22_2,2
40.22_2.2,40,40,22_2,2
41.22_2.2,41,41,22_2,2
42.22_2.2,42,42,22_2,2
43.22_2.2,43,43,22_2,2
44.22_2.2,44,44,22_2,2
45.22_2.2,45,45,22_2,2
46.22_2.2,46,46,22_2,2
47.22_2.2,47,47,22_2,2
48.22_2.2,48,48,22_2,2
49.22_2.2,49,49,22_2,2
50.22_2.2,50,50,22_2,2
1.8_16.1,1,1,8_16,1
2.8_16.1,2,2,8_16,1
3.8_16.1,3,3,8_16,1
4.8_16.1,4,4,8_16,1
5.8_16.1,5,5,8_16,1
6.8_16.1,6,6,8_16,1
7.8_16.1,7,7,8_16,1
8.8_16.1,8,8,8_16,1
9.8_16.1,9,9,8_16,1
10.8_16.1,10,10,8_16,1
11.8_16.1,11,11,8_16,1
12.8_16.1,12,12,8_16,1
13.8_16.1,13,13,8_16,1
14.8_16.1,14,14,8_16,1
15.8_16.1,15,15,8_16,1
16.8_16.1,16,16,8_16,1
17.8_16.1,17,17,8_16,1
18.8_16.1,18,18,8_16,1
19.8_16.1,19,19,8_16,1
20.8_16.1,20,20,8_16,1
21.8_16.1,21,21,8_16,1
22.8_16.1,22,22,8_16,1
23.8_16.1,23,23,8_16,1
24.8_16.1,24,24,8_16,1
25.8_16.1,25,25,8_16,1
26.8_16.1,26,26,8_16,1
27.8_16.1,27,27,8_16,1
28.8_16.1,28,28,8_16,1
29.8_16.1,29,29,8_16,1
30.8_16.1,30,30,8_16,1
31.8_16.1,31,31,8_16,1
32.8_16.1,32,32,8_16,1
33.8_16.1,33,33,8_16,1
34.8_16.1,34,34,8_16,1
35.8_16.1,35,35,8_16,1
36.8_16.1,36,36,8_16,1
37.8_16.1,37,37,8_16,1
38.8_16.1,38,38,8_16,1
39.8_16.1,39,39,8_16,1
40.8_16.1,40,40,8_16,1
41.8_16.1,41,41,8_16,1
42.8_16.1,42,42,8_16,1
43.8_16.1,43,43,8_16,1
44.8_16.1,44,44,8_16,1
45.8_16.1,45,45,8_16,1
46.8_16.1,46,46,8_16,1
47.8_16.1,47,47,8_16,1
48.8_16.1,48,48,8_16,1
49.8_16.1,49,49,8_16,1
50.8_16.1,50,50,8_16,1
1.8_16.2,1,1,8_16,2
2.8_16.2,2,2,8_16,2
3.8_16.2,3,3,8_16,2
4.8_16.2,4,4,8_16,2
5.8_16.2,5,5,8_16,2
6.8_16.2,6,6,8_16,2
7.8_16.2,7,7,8_16,2
8.8_16.2,8,8,8_16,2
9.8_16.2,9,9,8_16,2
10.8_16.2,10,10,8_16,2
11.8_16.2,11,11,8_16,2
12.8_16.2,12,12,8_16,2
13.8_16.2,13,13,8_16,2
14.8_16.2,14,14,8_16,2
15.8_16.2,15,15,8_16,2
16.8_16.2,16,16,8_16,2
17.8_16.2,17,17,8_16,2
18.8_16.2,18,18,8_16,2
19.8_16.2,19,19,8_16,2
20.8_16.2,20,20,8_16,2
21.8_16.2,21,21,8_16,2
22.8_16.2,22,22,8_16,2
23.8_16.2,23,23,8_16,2
24.8_16.2,24,24,8_16,2
25.8_16.2,25,25,8_16,2
26.8_16.2,26,26,8_16,2
27.8_16.2,27,27,8_16,2
28.8_16.2,28,28,8_16,2
29.8_16.2,29,29,8_16,2
30.8_16.2,30,30,8_16,2
31.8_16.2,31,31,8_16,2
32.8_16.2,32,32,8_16,2
33.8_16.2,33,33,8_16,2
34.8_16.2,34,34,8_16,2
35.8_16.2,35,35,8_16,2
36.8_16.2,36,36,8_16,2
