T:X:Y,V.T.R
249:1:1,1.1.1
249:1:2,2.1.1
249:2:1,3.1.1
249:2:2,4.1.1
249:3:1,5.1.1
249:3:2,6.1.1
249:4:1,7.1.1
249:4:2,8.1.1
249:5:1,9.1.1
249:5:2,10.1.1
249:6:1,11.1.1
249:6:2,12.1.1
250:1:1,13.1.1
250:1:2,14.1.1
250:2:1,15.1.1
250:2:2,16.1.1
250:3:1,17.1.1
250:3:2,18.1.1
250:4:1,19.1.1
250:4:2,20.1.1
250:5:1,21.1.1
250:5:2,22.1.1
250:6:1,23.1.1
250:6:2,24.1.1
251:1:1,25.1.1
251:1:2,26.1.1
251:2:1,27.1.1
251:2:2,28.1.1
251:3:1,29.1.1
251:3:2,30.1.1
251:4:1,31.1.1
251:4:2,32.1.1
251:5:1,33.1.1
251:5:2,34.1.1
251:6:1,35.1.1
251:6:2,36.1.1
252:1:1,37.1.1
252:1:2,38.1.1
252:2:1,39.1.1
252:2:2,40.1.1
252:3:1,41.1.1
252:3:2,42.1.1
252:4:1,43.1.1
252:4:2,44.1.1
252:5:1,45.1.1
252:5:2,46.1.1
252:6:1,47.1.1
252:6:2,48.1.1
253:1:1,49.1.1
253:1:2,50.1.1
253:2:1,1.1.2
253:2:2,2.1.2
253:3:1,3.1.2
253:3:2,4.1.2
253:4:1,5.1.2
253:4:2,6.1.2
253:5:1,7.1.2
253:5:2,8.1.2
253:6:1,9.1.2
253:6:2,10.1.2
254:1:1,11.1.2
254:1:2,12.1.2
254:2:1,13.1.2
254:2:2,14.1.2
254:3:1,15.1.2
254:3:2,16.1.2
254:4:1,17.1.2
254:4:2,18.1.2
254:5:1,19.1.2
254:5:2,20.1.2
254:6:1,21.1.2
254:6:2,22.1.2
255:1:1,23.1.2
255:1:2,24.1.2
255:2:1,25.1.2
255:2:2,26.1.2
255:3:1,27.1.2
255:3:2,28.1.2
255:4:1,29.1.2
255:4:2,30.1.2
255:5:1,31.1.2
255:5:2,32.1.2
255:6:1,33.1.2
255:6:2,34.1.2
256:1:1,35.1.2
256:1:2,36.1.2
256:2:1,37.1.2
256:2:2,38.1.2
256:3:1,39.1.2
256:3:2,40.1.2
256:4:1,41.1.2
256:4:2,42.1.2
256:5:1,43.1.2
256:5:2,44.1.2
256:6:1,45.1.2
256:6:2,46.1.2
257:1:1,47.1.2
257:1:2,48.1.2
257:2:1,49.1.2
257:2:2,50.1.2
257:3:1,1.2.1
257:3:2,2.2.1
257:4:1,3.2.1
257:4:2,4.2.1
257:5:1,5.2.1
257:5:2,6.2.1
257:6:1,7.2.1
257:6:2,8.2.1
258:1:1,9.2.1
258:1:2,10.2.1
258:2:1,11.2.1
258:2:2,12.2.1
258:3:1,13.2.1
258:3:2,14.2.1
258:4:1,15.2.1
258:4:2,16.2.1
258:5:1,17.2.1
258:5:2,18.2.1
258:6:1,19.2.1
258:6:2,20.2.1
259:1:1,21.2.1
259:1:2,22.2.1
259:2:1,23.2.1
259:2:2,24.2.1
259:3:1,25.2.1
259:3:2,26.2.1
259:4:1,27.2.1
259:4:2,28.2.1
259:5:1,29.2.1
259:5:2,30.2.1
259:6:1,31.2.1
259:6:2,32.2.1
260:1:1,33.2.1
260:1:2,34.2.1
260:2:1,35.2.1
260:2:2,36.2.1
260:3:1,37.2.1
260:3:2,38.2.1
260:4:1,39.2.1
260:4:2,40.2.1
260:5:1,41.2.1
260:5:2,42.2.1
260:6:1,43.2.1
260:6:2,44.2.1
261:1:1,45.2.1
261:1:2,46.2.1
261:2:1,47.2.1
261:2:2,48.2.1
261:3:1,49.2.1
261:3:2,50.2.1
261:4:1,1.2.2
261:4:2,2.2.2
261:5:1,3.2.2
261:5:2,4.2.2
261:6:1,5.2.2
261:6:2,6.2.2
262:1:1,7.2.2
262:1:2,8.2.2
262:2:1,9.2.2
262:2:2,10.2.2
262:3:1,11.2.2
262:3:2,12.2.2
262:4:1,13.2.2
262:4:2,14.2.2
262:5:1,15.2.2
262:5:2,16.2.2
262:6:1,17.2.2
262:6:2,18.2.2
263:1:1,19.2.2
263:1:2,20.2.2
263:2:1,21.2.2
263:2:2,22.2.2
263:3:1,23.2.2
263:3:2,24.2.2
263:4:1,25.2.2
263:4:2,26.2.2
263:5:1,27.2.2
263:5:2,28.2.2
263:6:1,29.2.2
263:6:2,30.2.2
264:1:1,31.2.2
264:1:2,32.2.2
264:2:1,33.2.2
264:2:2,34.2.2
264:3:1,35.2.2
264:3:2,36.2.2
264:4:1,37.2.2
264:4:2,38.2.2
264:5:1,39.2.2
264:5:2,40.2.2
264:6:1,41.2.2
264:6:2,42.2.2
265:1:1,43.2.2
265:1:2,44.2.2
265:2:1,45.2.2
265:2:2,46.2.2
265:3:1,47.2.2
265:3:2,48.2.2
265:4:1,49.2.2
265:4:2,50.2.2
